CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
tj;;COUNTRY;Таджикистан;;
tj03;tj;REGION;Согдийская область;;
tj1538311;tj03;CITY;Бустон;;
tj1514829;tj03;CITY;Табошар;;
tj1514889;tj03;CITY;Konsoy;;
tj1514929;tj03;CITY;Adrasmon;;
tj1514831;tj03;CITY;Shŭrob;;
tj1514852;tj03;CITY;Neftobod;;
tj1514870;tj03;CITY;Quruqsoy;;
tj1514873;tj03;CITY;Kulkent;;
tj1514877;tj03;CITY;Kim;;
tj1514878;tj03;CITY;Khushtoirijar;;
tj1514883;tj03;CITY;Qayroqqum;;
tj1514909;tj03;CITY;Qistaqŭz;;
tj1220093;tj03;CITY;Yorí;;
tj1220164;tj03;CITY;Vorukh;;
tj1220787;tj03;CITY;Pinyon;;
tj1220920;tj03;CITY;Nijoní;;
tj1220981;tj03;CITY;Muchun;;
tj1221329;tj03;CITY;Kholdorqiggchoq;;
tj1221970;tj03;CITY;Dalyoni Bolo;;
tj1222007;tj03;CITY;Chorbogh;;
tj1346345;tj03;CITY;Kanchoch;;
tj1346346;tj03;CITY;Hayronbed;;
tj1346349;tj03;CITY;Khumorigung;;
tj1346353;tj03;CITY;Yakkakhona;;
tj1346359;tj03;CITY;Husanobod;;
tj1346382;tj03;CITY;Dargh;;
tj1346434;tj03;CITY;Jarkutan;;
tj1346445;tj03;CITY;Bogi Kalon;;
tj1346446;tj03;CITY;Bobotago;;
tj1346447;tj03;CITY;Vogat;;
tj1346503;tj03;CITY;Zerobod;;
tj1538313;tj03;CITY;Yangikishlak;;
tj1514813;tj03;CITY;Zyurunly;;
tj1514817;tj03;CITY;Pongoz;;
tj1514818;tj03;CITY;Yertula;;
tj1514819;tj03;CITY;Yava;;
tj1514820;tj03;CITY;Yakhtan;;
tj1514822;tj03;CITY;Ŭzbekqishloq;;
tj1514823;tj03;CITY;Uyuly;;
tj1514824;tj03;CITY;Uyas;;
tj1514825;tj03;CITY;Utkansu;;
tj1514826;tj03;CITY;Unjí;;
tj1514835;tj03;CITY;Ravot;;
tj1514836;tj03;CITY;Ravot;;
tj1514837;tj03;CITY;Pungan;;
tj1514841;tj03;CITY;Paldorak;;
tj1514842;tj03;CITY;Patar;;
tj1514843;tj03;CITY;Palos;;
tj1514844;tj03;CITY;Pakhtakoron;;
tj1514845;tj03;CITY;Oshoba;;
tj1514850;tj03;CITY;Obburdon;;
tj1514857;tj03;CITY;Mullomir;;
tj1514859;tj03;CITY;Mehnatobod;;
tj1514861;tj03;CITY;Mastchoh;;
tj1514864;tj03;CITY;Lakkon;;
tj1514867;tj03;CITY;Kizilí;;
tj1514872;tj03;CITY;Kŭprukboshí;;
tj1514875;tj03;CITY;Kŭchkak;;
tj1514882;tj03;CITY;Pakhtakor;;
tj1514884;tj03;CITY;Katta-Sarikamysh;;
tj1514885;tj03;CITY;Qaramazor;;
tj1514887;tj03;CITY;Karakon;;
tj1514888;tj03;CITY;Frunze;;
tj1514892;tj03;CITY;Qamishqŭrgon;;
tj1514893;tj03;CITY;Qal’acha;;
tj1514898;tj03;CITY;Ghŭlakandoz;;
tj1514899;tj03;CITY;Gudos;;
tj1514902;tj03;CITY;Dzhumabazar;;
tj1514904;tj03;CITY;Dolona;;
tj1514905;tj03;CITY;Dashtiamin;;
tj1514907;tj03;CITY;Dahana;;
tj1514908;tj03;CITY;Chorukhdarron;;
tj1514910;tj03;CITY;Chorqishloq;;
tj1514911;tj03;CITY;Cholota;;
tj1514912;tj03;CITY;Chakadam-Bulak;;
tj1514914;tj03;CITY;Buloq;;
tj1514915;tj03;CITY;Boshtal’;;
tj1514917;tj03;CITY;Bobodarkhon;;
tj1514920;tj03;CITY;Ashti Poyon;;
tj1514923;tj03;CITY;Oftobrŭy;;
tj1514924;tj03;CITY;Andarsoy;;
tj1514925;tj03;CITY;Oltintopkan;;
tj1514926;tj03;CITY;Ak-Tyube;;
tj1512703;tj03;CITY;Takelí;;
tj1528532;tj03;CITY;Chilgazí;;
tj1220030;tj03;CITY;Zul’fan;;
tj1220042;tj03;CITY;Zindikan;;
tj1220045;tj03;CITY;Zimput;;
tj1220050;tj03;CITY;Zarafshon;;
tj1220052;tj03;CITY;Zebon;;
tj1220054;tj03;CITY;Zavron;;
tj1220058;tj03;CITY;Zosun;;
tj1220125;tj03;CITY;Yangiqŭrghon;;
tj1220147;tj03;CITY;Yovon;;
tj1220177;tj03;CITY;Veshkand;;
tj1220181;tj03;CITY;Veshist;;
tj1220186;tj03;CITY;Ven;;
tj1220192;tj03;CITY;Vashan;;
tj1220222;tj03;CITY;Vagashton;;
tj1220223;tj03;CITY;Vodif;;
tj1220235;tj03;CITY;Uvoq;;
tj1220240;tj03;CITY;Ustung;;
tj1220242;tj03;CITY;Ustanak;;
tj1220251;tj03;CITY;Urtaqishloq;;
tj1220281;tj03;CITY;Uata;;
tj1220441;tj03;CITY;Sujina;;
tj1220729;tj03;CITY;Rosrovut;;
tj1220731;tj03;CITY;Rarz;;
tj1220777;tj03;CITY;Poimazor;;
tj1220781;tj03;CITY;Pskan;;
tj1220810;tj03;CITY;Pastigav;;
tj1220864;tj03;CITY;Oqkŭtal;;
tj1220901;tj03;CITY;Navobod;;
tj1221018;tj03;CITY;Mazor;;
tj1221021;tj03;CITY;Moykatta;;
tj1221049;tj03;CITY;Mogiyon;;
tj1221183;tj03;CITY;Kumarg;;
tj1221241;tj03;CITY;Qŭshteppa;;
tj1221296;tj03;CITY;Khirskhona;;
tj1221309;tj03;CITY;Khuzya;;
tj1221318;tj03;CITY;Khudgif;;
tj1221350;tj03;CITY;Khodzha-Isaf;;
tj1221357;tj03;CITY;Khodishar;;
tj1221378;tj03;CITY;Khayrabad;;
tj1221411;tj03;CITY;Khairavat;;
tj1221420;tj03;CITY;Kengkul;;
tj1221442;tj03;CITY;Katta-Kishlak;;
tj1221454;tj03;CITY;Karmysh;;
tj1221480;tj03;CITY;Karasakol;;
tj1221481;tj03;CITY;Karapchí;;
tj1221527;tj03;CITY;Kante;;
tj1221540;tj03;CITY;Kamar-Tash;;
tj1221542;tj03;CITY;Kamar;;
tj1221548;tj03;CITY;Qal’ai Mirzoboy;;
tj1221564;tj03;CITY;Qairma;;
tj1221588;tj03;CITY;Itorchí;;
tj1221599;tj03;CITY;Iski-Darkh;;
tj1221601;tj03;CITY;Dahyak;;
tj1221604;tj03;CITY;Ėsiz;;
tj1221610;tj03;CITY;Ishkli;;
tj1221631;tj03;CITY;Imeni Rudaki;;
tj1221659;tj03;CITY;Guzaribad;;
tj1221665;tj03;CITY;Ghŭsar;;
tj1221675;tj03;CITY;Guytan;;
tj1221705;tj03;CITY;Ghizhdarva;;
tj1221706;tj03;CITY;Ghezani Bolo;;
tj1221718;tj03;CITY;Ghezani-Poyon;;
tj1221723;tj03;CITY;Ghaznich;;
tj1221727;tj03;CITY;Ghazza;;
tj1221742;tj03;CITY;Gharibak;;
tj1221767;tj03;CITY;Filmandor;;
tj1221776;tj03;CITY;Fatmev;;
tj1221778;tj03;CITY;Farob;;
tj1221781;tj03;CITY;Fatmovut;;
tj1221796;tj03;CITY;Dijik;;
tj1221811;tj03;CITY;Dzhilas;;
tj1221847;tj03;CITY;Dzhanbulak;;
tj1221878;tj03;CITY;Durman;;
tj1221900;tj03;CITY;Dehisor;;
tj1221914;tj03;CITY;Dimnora;;
tj1221924;tj03;CITY;Dehbaland;;
tj1221926;tj03;CITY;Dahyak;;
tj1221929;tj03;CITY;Dashty-Bet;;
tj1221933;tj03;CITY;Dashtiqozy;;
tj1221976;tj03;CITY;Dahkat;;
tj1222001;tj03;CITY;Chorroha;;
tj1222005;tj03;CITY;Chore;;
tj1222014;tj03;CITY;Chiray;;
tj1222027;tj03;CITY;Chimkurgan;;
tj1222060;tj03;CITY;Jangal;;
tj1222075;tj03;CITY;Buragen;;
tj1222114;tj03;CITY;Bolgali;;
tj1222160;tj03;CITY;Bedak;;
tj1222171;tj03;CITY;Basmanda;;
tj1222232;tj03;CITY;Ovchí;;
tj1222247;tj03;CITY;Artuch;;
tj1222268;tj03;CITY;Anzob;;
tj1222286;tj03;CITY;Amondara;;
tj1222310;tj03;CITY;Alakdzhar;;
tj1222345;tj03;CITY;Ak-Guaz-Kaaz;;
tj1222375;tj03;CITY;Abdusamat;;
tj1222687;tj03;CITY;Chorkŭh;;
tj8277151;tj03;CITY;Surkhi;;
tj8277167;tj03;CITY;Khonobod;;
tj8277172;tj03;CITY;Navgilem;;
tj8277174;tj03;CITY;Chilgazí;;
tj8273604;tj03;CITY;Navobad;;
tj8273970;tj03;CITY;Tagoyak;;
tj8273978;tj03;CITY;Gazantarak;;
tj8274033;tj03;CITY;Poshkent;;
tj8275184;tj03;CITY;Shamtuch;;
tj8133595;tj03;CITY;Qůl;;
tj1220904;tj03;CITY;Nomitkon;;
tj1346356;tj03;CITY;Panjrŭd;;
tj1346360;tj03;CITY;Shashqat;;
tj1346379;tj03;CITY;Pokhut;;
tj1346393;tj03;CITY;Shŭrpast;;
tj1346439;tj03;CITY;Tavoqbuloq;;
tj1346443;tj03;CITY;Objuvoz;;
tj1514828;tj03;CITY;Qaramazorsoí;;
tj1514830;tj03;CITY;Sirdaryo;;
tj1514834;tj03;CITY;Qal’ai Kohna;;
tj1514849;tj03;CITY;Appon;;
tj1514851;tj03;CITY;Niyozbek;;
tj1514854;tj03;CITY;Navgarzan;;
tj1514863;tj03;CITY;Laqat;;
tj1514866;tj03;CITY;Langar;;
tj1514868;tj03;CITY;Qirqquduq;;
tj1514871;tj03;CITY;Kurkat;;
tj1514894;tj03;CITY;Isfisor;;
tj1514906;tj03;CITY;Dahanai Bolo;;
tj1514922;tj03;CITY;Baland;;
tj1220184;tj03;CITY;Veshab;;
tj1220185;tj03;CITY;Mŭsobozor;;
tj1220255;tj03;CITY;Urmetan;;
tj1220256;tj03;CITY;Rugund;;
tj1220342;tj03;CITY;Qumsoí;;
tj1220365;tj03;CITY;Toshmunor;;
tj1220383;tj03;CITY;Tapkok;;
tj1220405;tj03;CITY;Takfon;;
tj1220438;tj03;CITY;Qashqa;;
tj1220521;tj03;CITY;Shing;;
tj1220544;tj03;CITY;Shavadki Poyon;;
tj1220545;tj03;CITY;Shavadki Bolo;;
tj1220617;tj03;CITY;Saritag;;
tj1220643;tj03;CITY;Saripul;;
tj1220661;tj03;CITY;Sangiston;;
tj1220696;tj03;CITY;Remon;;
tj1220700;tj03;CITY;Rogij;;
tj1220705;tj03;CITY;Roj;;
tj1220707;tj03;CITY;Revad;;
tj1220724;tj03;CITY;Rabot;;
tj1220725;tj03;CITY;Rovadin;;
tj1220758;tj03;CITY;Pormin;;
tj1220773;tj03;CITY;Parven;;
tj1220793;tj03;CITY;Pete;;
tj1220836;tj03;CITY;Poldorak;;
tj1220846;tj03;CITY;Padrud;;
tj1220863;tj03;CITY;Oktyabr;;
tj1220868;tj03;CITY;Varzikanda;;
tj1220875;tj03;CITY;Dashti Obburdon;;
tj1220912;tj03;CITY;Dalyon;;
tj1220943;tj03;CITY;Narvad;;
tj1220950;tj03;CITY;Nafaroch;;
tj1221029;tj03;CITY;Madrushkat;;
tj1221036;tj03;CITY;Margzor;;
tj1221047;tj03;CITY;Makhshevad;;
tj1221061;tj03;CITY;Langlif;;
tj1221186;tj03;CITY;Kul’yali;;
tj1221200;tj03;CITY;Kuliqutan;;
tj1221242;tj03;CITY;Kushqurgon;;
tj1221246;tj03;CITY;Koshona;;
tj1221247;tj03;CITY;Kosatarosh;;
tj1221292;tj03;CITY;Kishtudak;;
tj1221363;tj03;CITY;Khushikat;;
tj1221596;tj03;CITY;Iskodar;;
tj1221948;tj03;CITY;Dardar;;
tj8277130;tj03;CITY;Shahidqaroyantoq;;
tj8277134;tj03;CITY;Togoyqŭychí;;
tj8277135;tj03;CITY;Shŭrqŭrgon;;
tj8277169;tj03;CITY;Ŭrmontol;;
tj8277173;tj03;CITY;Qŭshdevor;;
tj8273882;tj03;CITY;Jomí;;
tj8273925;tj03;CITY;Nayman;;
tj7567529;tj03;CITY;Goj;;
tj7567771;tj03;CITY;Dŭstí;;
tj7567774;tj03;CITY;Jarbuloq;;
tj7567783;tj03;CITY;Ashti Bolo;;
tj1346355;tj03;CITY;Madovra;;
tj1346390;tj03;CITY;Pishanza;;
tj1346394;tj03;CITY;Shurmashk;;
tj1346395;tj03;CITY;Shŭrcha;;
tj1346435;tj03;CITY;Mukur;;
tj1514814;tj03;CITY;Zarxoq;;
tj1514847;tj03;CITY;Oksukon;;
tj1513262;tj03;CITY;Login;;
tj1220165;tj03;CITY;Voru;;
tj1220454;tj03;CITY;Sor;;
tj1220487;tj03;CITY;Shŭrcha;;
tj1220524;tj03;CITY;Shingak;;
tj1220670;tj03;CITY;Saksiyon;;
tj1220679;tj03;CITY;Sabakh;;
tj1220703;tj03;CITY;Rog;;
tj1220807;tj03;CITY;Pagna;;
tj1220994;tj03;CITY;Mogul;;
tj1221004;tj03;CITY;Mindona;;
tj1221031;tj03;CITY;Marzich;;
tj1221037;tj03;CITY;Marguzor;;
tj1221053;tj03;CITY;Madm;;
tj1222022;tj03;CITY;Chinar;;
tj1222292;tj03;CITY;Almaly;;
tj8276844;tj03;CITY;Komsomolsk;;
tj8276845;tj03;CITY;Sultonobod;;
tj8276846;tj03;CITY;Uya;;
tj8276847;tj03;CITY;Quruqsoy;;
tj8276848;tj03;CITY;Kichikolichalí;;
tj8276849;tj03;CITY;Apon;;
tj8276850;tj03;CITY;Zambarak;;
tj8276851;tj03;CITY;Boshkuruq;;
tj8276852;tj03;CITY;Olmalí;;
tj8276868;tj03;CITY;Qarojingil;;
tj8276870;tj03;CITY;Jigdalik;;
tj8277116;tj03;CITY;Dehavo;;
tj8277118;tj03;CITY;Lohutí;;
tj8277119;tj03;CITY;Gagarin;;
tj8277120;tj03;CITY;Pakhtakor;;
tj8277121;tj03;CITY;Qŭlihojí;;
tj8277123;tj03;CITY;Qŭruq;;
