CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
rs;;COUNTRY;Serbia;;
rsVO;rs;REGION;Vojvodina;;
rs790015;rsVO;CITY;Inđija;;
rs792718;rsVO;CITY;Belo Blato;;
rs792807;rsVO;CITY;Torak;;
rs792851;rsVO;CITY;Bašaid;;
rs792937;rsVO;CITY;Banatsko Veliko Selo;;
rs792940;rsVO;CITY;Banatsko Karađorđevo;;
rs792945;rsVO;CITY;Banatski Karlovac;;
rs792946;rsVO;CITY;Banatski Dvor;;
rs793014;rsVO;CITY;Bačko Petrovo Selo;;
rs793015;rsVO;CITY;Bačko Gradište;;
rs793112;rsVO;CITY;Aradac;;
rs789124;rsVO;CITY;Krajišnik;;
rs789170;rsVO;CITY;Kovilj;;
rs789828;rsVO;CITY;Jazovo;;
rs789875;rsVO;CITY;Jaša Tomić;;
rs790028;rsVO;CITY;Ilandža;;
rs790063;rsVO;CITY;Hajdučica;;
rs790104;rsVO;CITY;Gudurica;;
rs790772;rsVO;CITY;Gardinovci;;
rs790842;rsVO;CITY;Elemir;;
rs791948;rsVO;CITY;Čestereg;;
rs786001;rsVO;CITY;Seleuš;;
rs786021;rsVO;CITY;Sefkerin;;
rs786142;rsVO;CITY;Šajkaš;;
rs786395;rsVO;CITY;Ravni Topolovac;;
rs786583;rsVO;CITY;Radojevo;;
rs787274;rsVO;CITY;Padej;;
rs787341;rsVO;CITY;Ostojićevo;;
rs787584;rsVO;CITY;Novo Miloševo;;
rs787592;rsVO;CITY;Novi Slankamen;;
rs787598;rsVO;CITY;Novi Kozarci;;
rs787601;rsVO;CITY;Novi Karlovci;;
rs787602;rsVO;CITY;Novi Itebej;;
rs787615;rsVO;CITY;Nova Pazova;;
rs787682;rsVO;CITY;Neuzina;;
rs788073;rsVO;CITY;Međa;;
rs788153;rsVO;CITY;Margita;;
rs788507;rsVO;CITY;Lokve;;
rs784519;rsVO;CITY;Veliko Središte;;
rs784588;rsVO;CITY;Veliki Gaj;;
rs784991;rsVO;CITY;Torda;;
rs785041;rsVO;CITY;Tomaševac;;
rs785252;rsVO;CITY;Sutjeska;;
rs785530;rsVO;CITY;Stari Lec;;
rs785598;rsVO;CITY;Stajićevo;;
rs785600;rsVO;CITY;Srpski Itebej;;
rs785603;rsVO;CITY;Srpska Crnja;;
rs785839;rsVO;CITY;Skorenovac;;
rs836698;rsVO;CITY;Rusko Selo;;
rs3186376;rsVO;CITY;Zmajevo;;
rs3187829;rsVO;CITY;Veternik;;
rs3202798;rsVO;CITY;Čelarevo;;
rs3200560;rsVO;CITY;Gložan;;
rs3200802;rsVO;CITY;Futog;;
rs3202059;rsVO;CITY;Despotovo;;
rs3195939;rsVO;CITY;Maglić;;
rs3192420;rsVO;CITY;Prigrevica;;
rs3194243;rsVO;CITY;Obrovac;;
rs3190042;rsVO;CITY;Stanišić;;
rs3190104;rsVO;CITY;Kamenitz;;
rs3190789;rsVO;CITY;Sivac;;
rs3191660;rsVO;CITY;Riđica;;
rs3191802;rsVO;CITY;Ravno Selo;;
rs792404;rsVO;CITY;Botoš;;
rs792479;rsVO;CITY;Boka;;
rs792530;rsVO;CITY;Bočar;;
rs792627;rsVO;CITY;Bikač;;
rs792651;rsVO;CITY;Beška;;
rs792764;rsVO;CITY;Belegiš;;
rs792864;rsVO;CITY;Barice;;
rs792888;rsVO;CITY;Baranda;;
rs792938;rsVO;CITY;Banatsko Novo Selo;;
rs792941;rsVO;CITY;Banatsko Aranđelovo;;
rs792943;rsVO;CITY;Banatski Monoštor;;
rs792948;rsVO;CITY;Banatski Despotovac;;
rs792950;rsVO;CITY;Banatska Topola;;
rs792952;rsVO;CITY;Banatska Palanka;;
rs792953;rsVO;CITY;Banatska Dubica;;
rs789076;rsVO;CITY;Krčedin;;
rs789346;rsVO;CITY;Konak;;
rs789415;rsVO;CITY;Knićanin;;
rs789471;rsVO;CITY;Klek;;
rs789695;rsVO;CITY;Kajtasovo;;
rs789715;rsVO;CITY;Kačarevo;;
rs789787;rsVO;CITY;Jermenovci;;
rs789880;rsVO;CITY;Jarkovac;;
rs789888;rsVO;CITY;Janošik;;
rs789936;rsVO;CITY;Jabuka;;
rs789972;rsVO;CITY;Izbište;;
rs790033;rsVO;CITY;Idvor;;
rs790035;rsVO;CITY;Tiszahegyes;;
rs790053;rsVO;CITY;Hetin;;
rs790394;rsVO;CITY;Gornji Breg;;
rs790557;rsVO;CITY;Golubinci;;
rs790823;rsVO;CITY;Farkaždin;;
rs790847;rsVO;CITY;Ečka;;
rs790872;rsVO;CITY;Dužine;;
rs790898;rsVO;CITY;Ðurđevo;;
rs791452;rsVO;CITY;Dobrica;;
rs791589;rsVO;CITY;Debeljača;;
rs791672;rsVO;CITY;Čurug;;
rs791887;rsVO;CITY;Crepaja;;
rs791890;rsVO;CITY;Čortanovci;;
rs791998;rsVO;CITY;Čenta;;
rs786106;rsVO;CITY;Sanad;;
rs786109;rsVO;CITY;Samoš;;
rs786137;rsVO;CITY;Sakule;;
rs786146;rsVO;CITY;Sajan;;
rs786985;rsVO;CITY;Pločica;;
rs787123;rsVO;CITY;Perlez;;
rs787164;rsVO;CITY;Pavliš;;
rs787271;rsVO;CITY;Padina;;
rs787391;rsVO;CITY;Orlovat;;
rs787471;rsVO;CITY;Omoljica;;
rs787597;rsVO;CITY;Kozjak;;
rs787612;rsVO;CITY;Novi Banovci;;
rs787663;rsVO;CITY;Nikolinci;;
rs787743;rsVO;CITY;Nakovo;;
rs787747;rsVO;CITY;Adorjan;;
rs787751;rsVO;CITY;Mužlja;;
rs787837;rsVO;CITY;Mošorin;;
rs787855;rsVO;CITY;Mol;;
rs787857;rsVO;CITY;Mokrin;;
rs787998;rsVO;CITY;Mihajlovo;;
rs788040;rsVO;CITY;Melenci;;
rs788131;rsVO;CITY;Markovićevo;;
rs788358;rsVO;CITY;Majdan;;
rs788421;rsVO;CITY;Lukićevo;;
rs788515;rsVO;CITY;Lok;;
rs788539;rsVO;CITY;Ljukovo;;
rs788768;rsVO;CITY;Lazarevo;;
rs788838;rsVO;CITY;Kuštilj;;
rs788868;rsVO;CITY;Kupinovo;;
rs788890;rsVO;CITY;Kumane;;
rs784274;rsVO;CITY;Vojvoda Stepa;;
rs784288;rsVO;CITY;Vojka;;
rs784344;rsVO;CITY;Vlajkovac;;
rs784352;rsVO;CITY;Vladimirovac;;
rs784434;rsVO;CITY;Vilovo;;
rs784604;rsVO;CITY;Aleksandrovo;;
rs784661;rsVO;CITY;Velika Greda;;
